"origName","decimalLongitude","decimalLatitude","year","database","acceptName","name","longitude","latitude","ID"
"Paspalum dilatatum",23.875,-29.875,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",23.875,-29.875,155
"Paspalum dilatatum",23.8966693878174,-34.0224990844727,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",23.8966693878174,-34.0224990844727,156
"Paspalum dilatatum",23.89667,-34.0225,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",23.89667,-34.0225,157
"Paspalum dilatatum",24.1519393920898,-33.9044418334961,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.1519393920898,-33.9044418334961,158
"Paspalum dilatatum",24.15194,-33.9044,1958,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.15194,-33.9044,159
"Paspalum dilatatum",24.1738891601563,-34.0044403076172,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.1738891601563,-34.0044403076172,160
"Paspalum dilatatum",24.17389,-34.0044,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.17389,-34.0044,161
"Paspalum dilatatum",24.20861,-33.6,2003,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.20861,-33.6,162
"Paspalum dilatatum",24.23361,-33.8588,1958,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.23361,-33.8588,163
"Paspalum dilatatum",24.2336101531982,-33.8588905334473,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.2336101531982,-33.8588905334473,164
"Paspalum dilatatum",24.36833,-32.0952,1965,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.36833,-32.0952,165
"Paspalum dilatatum",24.3683300018311,-32.0952796936035,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.3683300018311,-32.0952796936035,166
"Paspalum dilatatum",24.4019393920898,-33.8997192382813,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.4019393920898,-33.8997192382813,167
"Paspalum dilatatum",24.40194,-33.8997,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.40194,-33.8997,168
"Paspalum dilatatum",24.46194,-33.8361,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.46194,-33.8361,169
"Paspalum dilatatum",24.4619407653809,-33.836109161377,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.4619407653809,-33.836109161377,170
"Paspalum dilatatum",24.5049991607666,-31.7224998474121,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.5049991607666,-31.7224998474121,171
"Paspalum dilatatum",24.505,-31.7225,1962,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.505,-31.7225,172
"Paspalum dilatatum",24.5261096954346,-32.1861114501953,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.5261096954346,-32.1861114501953,173
"Paspalum dilatatum",24.52611,-32.1861,1965,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.52611,-32.1861,174
"Paspalum dilatatum",24.58139,-34.0408,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.58139,-34.0408,175
"Paspalum dilatatum",24.5813903808594,-34.040828704834,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.5813903808594,-34.040828704834,176
"Paspalum dilatatum",24.625,-28.375,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",24.625,-28.375,177
