"name","decimalLongitude","decimalLatitude"
"Paspalum urvillei",121.3238,24.78246
"Paspalum urvillei",121.1953,25.02517
"Paspalum urvillei",121.2684,24.86379
"Paspalum urvillei",121.3826,25.05177
"Paspalum urvillei",121.3797,24.82097
"Paspalum urvillei",121.2762,25.0452
"Paspalum urvillei",121.3349,25.03598
"Paspalum urvillei",121.2599,24.99702
"Paspalum urvillei",121.267,24.77754
"Paspalum urvillei",121.1978,24.88664
"Paspalum urvillei",121.1261,25.00286
"Paspalum urvillei",121.2306,24.93323
"Paspalum urvillei",121.2568,25.05644
"Paspalum urvillei",121.0636,24.9431
"Paspalum urvillei",121.4149,24.79939
"Paspalum urvillei",121.3363,24.78953
"Paspalum urvillei",121.2758,24.65667
"Paspalum urvillei",121.3126,24.69311
"Paspalum urvillei",121.2924,24.86316
"Paspalum urvillei",121.39,24.67778
"Paspalum urvillei",121.3292,24.81287
"Paspalum urvillei",121.1837,24.86755
"Paspalum urvillei",-8.70126,41.32609
"Paspalum urvillei",121.2904,24.81958
"Paspalum urvillei",121.2586,24.8099
"Paspalum urvillei",121.3773,25.03148
"Paspalum urvillei",-93.96278,30.80123
"Paspalum urvillei",121.2561,24.82121
"Paspalum urvillei",121.3118,25.07786
"Paspalum urvillei",121.2951,25.06155
"Paspalum urvillei",121.3653,24.78161
"Paspalum urvillei",121.2546,24.58906
"Paspalum urvillei",121.0941,25.03938
"Paspalum urvillei",121.2231,24.76568
"Paspalum urvillei",121.3092,25.09318
"Paspalum urvillei",121.3503,24.73803
"Paspalum urvillei",121.0691,25.01929
"Paspalum urvillei",121.0327,24.9652
"Paspalum urvillei",121.2894,24.91738
"Paspalum urvillei",121.2235,24.84601
"Paspalum urvillei",151.7147,-32.8927
"Paspalum urvillei",121.2207,25.08411
"Paspalum urvillei",121.3741,24.69422
"Paspalum urvillei",121.1003,25.01655
"Paspalum urvillei",152.4486,-31.89162
"Paspalum urvillei",121.2988,24.61017
"Paspalum urvillei",121.2715,24.63501
"Paspalum urvillei",121.2493,24.77996
"Paspalum urvillei",121.2881,24.84183
"Paspalum urvillei",151.5304,-33.19574
"Paspalum urvillei",121.225,25.02641
"Paspalum urvillei",121.1625,24.88482
"Paspalum urvillei",121.3613,25.01147
"Paspalum urvillei",121.2905,24.67704
"Paspalum urvillei",121.3293,24.89366
"Paspalum urvillei",121.3527,24.80853
"Paspalum urvillei",121.2697,24.94532
"Paspalum urvillei",150.9198,-33.81251
"Paspalum urvillei",121.2983,25.02372
"Paspalum urvillei",121.2228,24.88754
"Paspalum urvillei",121.1962,24.90783
"Paspalum urvillei",121.0833,24.94837
"Paspalum urvillei",121.2462,25.07032
"Paspalum urvillei",121.3124,24.82293
"Paspalum urvillei",121.3602,24.71301
"Paspalum urvillei",121.0887,24.91501
"Paspalum urvillei",121.3219,25.04599
"Paspalum urvillei",-50.21579,-29.90591
"Paspalum urvillei",-97.36605,32.72307
"Paspalum urvillei",121.2025,24.77743
"Paspalum urvillei",121.2692,24.71398
"Paspalum urvillei",121.316,24.60238
"Paspalum urvillei",121.2633,25.08576
"Paspalum urvillei",121.3925,24.84156
"Paspalum urvillei",121.2453,25.11911
"Paspalum urvillei",121.4282,24.65168
"Paspalum urvillei",121.2895,25.08822
"Paspalum urvillei",121.3332,24.83484
"Paspalum urvillei",121.1995,24.76087
"Paspalum urvillei",121.3378,24.88
"Paspalum urvillei",121.3329,24.74289
"Paspalum urvillei",151.22,-33.54701
"Paspalum urvillei",121.2324,25.03724
"Paspalum urvillei",121.3517,24.7273
"Paspalum urvillei",121.445,24.64261
"Paspalum urvillei",121.2789,25.11016
"Paspalum urvillei",121.3883,24.79567
"Paspalum urvillei",121.3265,24.58263
"Paspalum urvillei",121.2183,25.00902
"Paspalum urvillei",121.259,24.87573
"Paspalum urvillei",121.2744,24.79587
"Paspalum urvillei",121.3307,25.01217
"Paspalum urvillei",121.0433,24.9964
"Paspalum urvillei",121.3415,25.06963
"Paspalum urvillei",121.1402,24.93665
"Paspalum urvillei",121.3029,24.59057
"Paspalum urvillei",121.2583,25.10525
"Paspalum urvillei",121.1203,24.89332
"Paspalum urvillei",121.3719,24.82919
"Paspalum urvillei",121.3074,24.57417
"Paspalum urvillei",121.2124,24.82064
"Paspalum urvillei",121.2054,24.85034
"Paspalum urvillei",121.2854,25.07923
"Paspalum urvillei",121.1226,24.92225
"Paspalum urvillei",-81.21845,34.25775
"Paspalum urvillei",151.6318,-32.92138
"Paspalum urvillei",151.1354,-33.64432
